,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
10,,,,,"[63.8, 65.9]",,,,,,,,,,,1.535,,,,,,,,,,,,669bc936-10fd-4c03-9ba5-0248447cd8dd,2569,,"[55.6, 67.4]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,"['9ecf69fb-b659-4e9f-82df-7ae7dfb00850', 'bd9d42ba-c681-4696-a9e3-3c279ce49077', 'd2253baa-28a5-49aa-ad6f-cdc4798e51cc']",48,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:48.519,Carry,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,"[71.3, 47.8]",,,,,,,,,,,1.386119,,,,,,,,,,,,106442db-6762-4572-948e-101d088173ba,2575,,"[66.1, 58.1]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,"['bd5765f4-c847-4580-a384-d4fd72456e8c', 'cb5d1346-75d8-4652-9846-cc5ea3d3b175', 'd523e078-1eec-4c7f-a97b-63956c6c9399']",51,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:51.204,Carry,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,"[70.3, 48.1]",,,,,,,,,,,0.0303,,,,,,,,,,,,b723af9e-5e02-4e37-a37d-752b9187f879,2577,,"[71.3, 47.8]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,"['d523e078-1eec-4c7f-a97b-63956c6c9399', 'fbb36e61-f4e1-414b-b1cd-947fb0a91317']",52,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:52.591,Carry,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,"[87.1, 46.4]",,,,,,,,,,,0.22795,,,,,,,,,,,,0c650fce-e7ee-4fb0-b9dc-f2e0b18e2b46,2717,,"[86.5, 45.3]",68353,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,207,Barcelona,217,"['5c548434-5170-4076-baed-9f287052f899', 'aa345beb-c3fd-414f-8658-055012756622', 'f2a82062-adab-40fe-a41c-427ab306ff79']",59,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:59.952,Carry,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,"[85.0, 34.2]",,,,,,,,,,,1.44445,,,,,,,,,,,,79a80596-66a4-4abb-a6e1-1debf33d5606,2720,,"[87.1, 46.4]",68353,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,207,Barcelona,217,"['5c548434-5170-4076-baed-9f287052f899', '9f553456-7a8a-4479-b274-3bc104dfbb42', 'aa345beb-c3fd-414f-8658-055012756622', 'b7667f73-0c02-4354-aca1-842229d49749']",0,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:00.179,Carry,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,"[87.7, 27.5]",,,,,,,,,,,0.668414,,,,,,,,,,,,48a8acb9-b554-476c-a230-1ee5d9012b9a,2743,,"[86.1, 27.3]",68353,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,208,Barcelona,217,"['337eb5ef-2bfc-4704-8d05-c8d485a90682', '42ea1212-968b-4cde-83ed-3ffc3440697d']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:32.175,Carry,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,"[97.4, 51.0]",,,,,,,,,,,4.7851,,,,,,,,,,,,ce5cb275-438f-44b0-bccb-c1b1406f46cc,2765,,"[95.3, 72.0]",68353,92,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,210,Barcelona,217,"['c9072313-043b-4349-9f5a-d2b204cff93a', 'f34ebd3f-5e25-4fba-a6cf-54bdfbb56fc6']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:47:05.124,Carry,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,True,,,,,0.5468,,,,,,,,,,,,d9fc6404-71e6-47b5-86c6-78a19e3aef14,2586,,"[83.5, 38.4]",68353,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,195,Espanyol,214,['82518eb0-6f84-4ea7-b24f-77fa235dfc8f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:00.261,Pressure,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d523e078-1eec-4c7f-a97b-63956c6c9399,2576,,"[71.3, 47.8]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,,52,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:52.591,Ball Recovery,,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,0.0,,,,True,True,,,,,,,cb5d1346-75d8-4652-9846-cc5ea3d3b175,2574,,"[66.1, 58.1]",68353,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,194,Barcelona,217,['bd5765f4-c847-4580-a384-d4fd72456e8c'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:39:51.204,Foul Won,True,2004/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
