,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
254,,,,,,,,,,,,,,,,1.062164,,,,,,,,,,,,a575a1f9-ad18-4919-add3-f8e01b2af845,3422,,"[96.8, 21.4]",68318,91,,,,1.8467568,,Left Foot,,,"[93.6, 32.7]",,Ground Pass,,11.74436,,,,Mark van Bommel,19296.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,191,Barcelona,217,['d914b7be-5331-44dc-b3d1-164883f22864'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:46:55.393,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,3.04905,,,,,,,,,,,,07920578-66b2-4437-a05e-48da36d3ca61,2265,,"[93.6, 73.1]",69164,64,,,,-2.0266576,,Left Foot,,,"[75.9, 37.0]",,Low Pass,,40.205723,,,,Carles Puyol i Saforcada,20125.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,139,Barcelona,217,"['3a9014f2-3023-459d-8a89-ba0b9c1240af', 'ded41f56-3a45-4c96-a801-4b6c838dc1cb']",55,,,,,,,,,,,,,,,,,,Barcelona,217,00:19:55.447,Pass,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,1.112197,,,,,,,,,,,,46ccb470-5060-4f0c-b772-5d66ca8f696e,2388,,"[80.2, 60.5]",69164,67,,,,-0.9192091,,Left Foot,,,"[89.2, 48.7]",,Ground Pass,,14.840486,,,,Samuel Eto''o Fils,19298.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,146,Barcelona,217,['c711f97d-e88b-497e-bce1-b40f77ec8f08'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:46.410,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,1.262492,,,,,,,,,,,,e42a8124-fdf0-4397-bbab-a1b7a5fdfeda,2488,,"[74.3, 23.8]",69164,70,,,,-1.2229079,,Left Foot,,,"[80.9, 5.6]",,Ground Pass,,19.359753,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,150,Barcelona,217,['e3c7b3f9-2a68-424b-b8eb-bcdb6425a02f'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:28.227,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,1.051084,,,,,,,,,,,,c6f6ce94-6f8d-4e4c-baa9-05a41e1e6d2e,2494,,"[89.3, 22.2]",69164,70,,,,-0.64884865,,Left Foot,,,"[104.2, 10.9]",,Ground Pass,,18.700268,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,150,Barcelona,217,['67c675eb-053e-418e-b6c3-66c5e19a076f'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:34.674,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,0.596248,,,,,,,,,,,,b25c25c7-9692-45f1-afdb-26e4c73860da,2537,,"[98.1, 9.3]",69164,71,,,,0.6175022,,Left Foot,,,"[105.0, 14.2]",,Ground Pass,,8.46286,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,152,Barcelona,217,['78796d56-899f-439f-9e5b-70b8ae66dbc3'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:20.696,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,0.538944,,,,,,,,,,,,a2cd3b27-fa3c-46d1-9e73-7c9bcbd28c42,2543,,"[98.7, 23.3]",69164,71,,,,0.9440534,,Left Foot,,,"[100.8, 26.2]",,Ground Pass,,3.5805027,,Incomplete,,Henrik Larsson,15743.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,152,Barcelona,217,"['3750c04c-6db5-4bb1-aff9-3d5108c43b6e', 'b7826a71-6989-4fbe-a445-9199352408de']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:24.325,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,0.31343,,,,,,,,,,,,1f863974-09f1-4149-9847-b372b4b8163b,3185,,"[77.2, 14.9]",69164,93,,,,-2.2009902,,Left Foot,,,"[71.0, 6.4]",,Ground Pass,,10.520931,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,192,Barcelona,217,['26aa0772-2596-4b7a-94ea-555889389f3d'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:43.964,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,1.327863,,,,,,,,,,,,f35bc3fc-6320-4aa3-8a26-4026c39f0270,2818,,"[66.7, 60.1]",68339,69,,,,-0.84339756,,Head,,,"[74.0, 51.9]",,Low Pass,,10.978616,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,163,Barcelona,217,['7e6a7cfd-228f-408d-85d3-ccdac0e0cc0b'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:24:17.385,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,0.7664,,,,,,,,,,,,8851f888-a2a7-49fb-af5a-5d4ed636b1c7,2844,,"[71.7, 74.3]",68339,69,,,,2.7905617,,Left Foot,,,"[64.6, 76.9]",,Ground Pass,,7.5610847,,,,Oleguer Presas Renom,25873.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,165,Barcelona,217,['a39d51a6-f7db-4d70-8b05-d7b7d8e09bb6'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:24:42.993,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,0.9866,,,,,,,,,,,,d0a28fea-07dc-46e1-96c1-ad446cdae1bc,2867,,"[67.5, 46.0]",68339,71,,,,3.0118902,,Left Foot,,,"[58.3, 47.2]",,Ground Pass,,9.277931,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,168,Barcelona,217,['0a0098b2-1d02-4b66-919b-3e118f71845e'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:55.830,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,0.997675,,,,,,,,,,,,f3f98dc2-c522-4910-a32f-e7121944076a,2959,,"[46.3, 57.5]",68339,75,,,,-0.32932615,,Left Foot,,,"[62.1, 52.1]",,Ground Pass,,16.697306,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,177,Barcelona,217,['41d8b190-8ac0-44f0-8bfb-3151484645d3'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:09.996,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,0.733969,,,,,,,,,,,,f651061a-3d11-4e57-a322-aeef416d31d0,2983,,"[64.2, 40.5]",68339,75,,,,-1.3775848,,Right Foot,,,"[66.0, 31.3]",,Ground Pass,,9.3744335,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,177,Barcelona,217,['a9e854d0-85ab-435a-807b-6cc91e95a976'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:26.145,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,1.24307,,,,,,,,,,,,1e1ed379-f70e-484c-89bb-c743edd3fe53,3099,,"[49.2, 60.7]",68339,77,,,,-1.4194951,,Left Foot,,,"[52.6, 38.4]",,Low Pass,,22.557703,,Incomplete,,Sylvio Mendes Campos Junior,25854.0,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,181,Barcelona,217,"['1cffd85c-64a1-40ca-9a01-35767dfe826d', '53262bbe-97dd-4871-a275-b623dc4f5911']",48,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:48.112,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,0.680384,,,,,,,,,,,,429cfc5e-7bb1-4de3-801a-6435fdb7b772,3201,,"[80.3, 47.4]",68339,81,,,,0.14784937,,Right Foot,,,"[94.4, 49.5]",,Low Pass,,14.255526,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,187,Barcelona,217,"['2e5c6837-f5d5-42b3-9572-1206eb3dd4e8', 'aacf67d3-072d-4598-b971-fb8f646bc8a6']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:36:11.684,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,1.067697,,,,,,,,,,,,2032c7bb-e66d-4a29-8866-00e8fee95b4e,3296,,"[66.0, 67.4]",68339,83,,,,-0.821527,,Left Foot,,,"[74.0, 58.8]",,Ground Pass,,11.745638,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,193,Barcelona,217,['9ac16226-d147-40e1-9987-bb695073c7d3'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:45.510,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,1.149916,,,,,,,,,,,,a84b9d73-3c09-421c-ba13-a9e17d93477a,3333,,"[78.7, 13.6]",68339,85,,,,2.0762446,,Left Foot,,,"[73.0, 23.9]",,Ground Pass,,11.772,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,196,Barcelona,217,['9c53461b-5fa9-44ed-997a-9ec05ab46bbb'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:08.073,Pass,,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
