,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
716,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,,,9c732624-510e-4f92-92fa-6709879ad5f4,1903,,"[103.9, 51.8]",68319,47,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,105,Barcelona,217,"['d2103617-953f-4503-b301-ece46f8a7ef3', 'e77efc4c-b68c-4d85-a022-f32d9a0bfcbf']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:35.810,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,70c5e6de-69f0-4b45-bb2f-1960b69a1c71,2064,,"[89.9, 33.8]",68319,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,115,Real Madrid,220,['71e1d71d-a5a0-4b1a-828b-98016de0c75b'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:39.628,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,5598b49d-453c-4ecb-badb-27233cd1c1e5,2098,,"[63.9, 61.4]",68319,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,116,Barcelona,217,"['0be503d3-c5dd-4968-9309-95989bf1a102', '5f2073c2-5934-4f6e-a81a-d379f70ce834']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:14.251,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,a7572804-0b27-4a4a-8abd-0b44a527afe5,2663,,"[98.0, 56.8]",68319,67,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,149,Barcelona,217,['ccdb430e-9d8f-4755-9de7-866a4001fa01'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:42.734,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,c63e3338-d1ff-4c3f-bce9-b7bf4ea8a014,267,,"[38.9, 45.7]",68354,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,13,Barcelona,217,"['2a9d31d6-b1e2-419a-a1fd-5bdf66ab9932', '3052b8ea-25bb-4c1f-a3e1-c3fba87b26aa']",45,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:45.022,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,d55773b9-8cbd-44a7-84a9-83fd3a06b60e,282,,"[105.5, 28.1]",68354,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,13,Barcelona,217,"['14317856-7e15-4327-a024-2654a5b9b6de', '70264fff-a60a-4688-973a-86d05371820d']",54,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:54.335,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,029f0419-caed-4da3-bcd0-37486d88e9d5,902,,"[92.1, 61.0]",68354,20,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,40,Barcelona,217,"['b30e23d1-6ef3-4ad9-9773-662d2830e27b', 'df5d8e57-5dba-45c0-87a2-3ad86ae87a2f']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:42.150,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,cbd35c2a-d1e1-489a-9cae-b074fd54f13b,1186,,"[82.1, 52.1]",68354,29,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,53,Barcelona,217,"['29342ca5-3839-4f31-9b65-09b0c5227c15', '55a91dd3-88d0-438c-85bc-95840dd5f8b0', '787cb633-9b44-45bf-b3df-5f895bbd5502']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:29:06.126,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,641c4f9b-5888-4dc9-8293-1d0dbb835b78,2141,,"[57.0, 63.2]",68354,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,99,Barcelona,217,"['1f8129cd-0510-4edf-83dd-b0e54f891ead', '39b10bc3-e82c-416a-9d2f-73bf2d62f20b', '7d10362c-18f4-433f-b88c-ddc1c4f50710']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:05.537,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,4bcc2a82-cf7e-44f3-a848-785eba0f53b2,2143,,"[56.6, 63.8]",68354,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,99,Barcelona,217,"['1f8129cd-0510-4edf-83dd-b0e54f891ead', '7d10362c-18f4-433f-b88c-ddc1c4f50710', '7f641523-d867-4239-bc26-67eb81a9a6c7']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:05.939,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
